                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7327,                0.73333,                0.98083,                 1.9501,              0.0033304,              0.0033304,              0.0033304
                      2,                0.96383,                0.85556,                0.99722,                 1.7872,              0.0065171,              0.0065171,              0.0065171
                      3,                0.87195,                0.85139,                0.99333,                 1.7909,              0.0095572,              0.0095572,              0.0095572
                      4,                0.85134,                0.86444,                0.99556,                 1.7724,                0.00934,                0.00934,                0.00934
                      5,                0.70965,                0.91278,                0.99611,                 1.7268,                0.00912,                0.00912,                0.00912
                      6,                 0.5857,                0.93333,                0.99917,                 1.6977,                 0.0089,                 0.0089,                 0.0089
                      7,                0.49654,                0.92222,                0.99806,                 1.7094,                0.00868,                0.00868,                0.00868
                      8,                0.42598,                0.96556,                0.99944,                 1.6653,                0.00846,                0.00846,                0.00846
                      9,                0.38113,                0.97389,                0.99972,                 1.6553,                0.00824,                0.00824,                0.00824
                     10,                0.33937,                0.97917,                0.99972,                 1.6476,                0.00802,                0.00802,                0.00802
                     11,                0.30121,                0.97333,                0.99972,                 1.6516,                 0.0078,                 0.0078,                 0.0078
                     12,                0.30693,                 0.9775,                0.99944,                  1.649,                0.00758,                0.00758,                0.00758
                     13,                0.26746,                0.97778,                0.99944,                 1.6461,                0.00736,                0.00736,                0.00736
                     14,                0.25537,                0.98194,                0.99944,                 1.6422,                0.00714,                0.00714,                0.00714
                     15,                0.25038,                0.98194,                      1,                 1.6427,                0.00692,                0.00692,                0.00692
                     16,                0.22731,                0.97611,                0.99944,                 1.6445,                 0.0067,                 0.0067,                 0.0067
                     17,                 0.2221,                 0.9825,                      1,                 1.6395,                0.00648,                0.00648,                0.00648
                     18,                0.20369,                  0.985,                0.99944,                 1.6376,                0.00626,                0.00626,                0.00626
                     19,                0.20058,                0.98694,                      1,                 1.6352,                0.00604,                0.00604,                0.00604
                     20,                0.19164,                0.98556,                      1,                 1.6374,                0.00582,                0.00582,                0.00582
                     21,                0.18873,                0.98333,                0.99944,                 1.6381,                 0.0056,                 0.0056,                 0.0056
                     22,                0.17376,                0.98722,                      1,                 1.6341,                0.00538,                0.00538,                0.00538
                     23,                0.17101,                0.98694,                      1,                 1.6362,                0.00516,                0.00516,                0.00516
                     24,                0.16534,                0.98944,                0.99944,                 1.6333,                0.00494,                0.00494,                0.00494
                     25,                0.15676,                0.98806,                0.99944,                 1.6343,                0.00472,                0.00472,                0.00472
                     26,                0.14457,                0.98639,                0.99972,                 1.6356,                 0.0045,                 0.0045,                 0.0045
                     27,                0.14625,                0.98694,                      1,                 1.6346,                0.00428,                0.00428,                0.00428
                     28,                0.13434,                0.98806,                      1,                  1.635,                0.00406,                0.00406,                0.00406
                     29,                0.14282,                0.98778,                      1,                  1.633,                0.00384,                0.00384,                0.00384
                     30,                0.12555,                0.98694,                0.99944,                  1.634,                0.00362,                0.00362,                0.00362
                     31,                0.13071,                0.98667,                      1,                 1.6344,                 0.0034,                 0.0034,                 0.0034
                     32,                0.12044,                0.98944,                      1,                 1.6323,                0.00318,                0.00318,                0.00318
                     33,                0.11882,                0.98806,                      1,                 1.6327,                0.00296,                0.00296,                0.00296
                     34,                0.10411,                0.98472,                      1,                 1.6342,                0.00274,                0.00274,                0.00274
                     35,                0.10389,                  0.985,                      1,                 1.6341,                0.00252,                0.00252,                0.00252
                     36,                0.09876,                0.98361,                      1,                 1.6352,                 0.0023,                 0.0023,                 0.0023
                     37,                0.09963,                0.98389,                      1,                 1.6354,                0.00208,                0.00208,                0.00208
                     38,                0.09477,                0.98389,                      1,                 1.6349,                0.00186,                0.00186,                0.00186
                     39,                0.09515,                0.98389,                      1,                 1.6344,                0.00164,                0.00164,                0.00164
                     40,                0.08379,                0.98278,                      1,                 1.6346,                0.00142,                0.00142,                0.00142
                     41,                0.08431,                0.98306,                      1,                 1.6341,                 0.0012,                 0.0012,                 0.0012
                     42,                0.07826,                0.98417,                      1,                 1.6333,                0.00098,                0.00098,                0.00098
                     43,                 0.0789,                0.98611,                      1,                 1.6326,                0.00076,                0.00076,                0.00076
                     44,                0.07226,                0.98833,                      1,                 1.6321,                0.00054,                0.00054,                0.00054
                     45,                0.06936,                0.98778,                      1,                  1.632,                0.00032,                0.00032,                0.00032
